"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"577";"if they fail , then the responsibility goes to the vice chancellor .";"তাহলে আমি পরের বেঁচে একলা তাহলে হয়তো এখনো বেঁচে থাকতেন।";"1.554279"
"578";"if he fails , then the president himself has to intervene as a chancellor .";"উনি যদি যে উনি ডাক্তারের ডাক্তারের পরামর্শ মানতেন , তাহলে হয়তো এখনো বেঁচে থাকতেন।";"2.644068"
"579";"it clearly shows that the wrong doing is going on and the administration is failing .";"প্রথমে খুব যেন যে মিত্রই পাতা ঘন্টারও কিনতে।";"1.015788"
"580";"the vice-chancellor also said , "" any activities of the halls will be run by the authorities .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"0.876971"
"581";"there is no scope to spare the leaders and workers of the student organization .";"বসন্তের চড়াই উতরাই আছে। তাদের তাদের প্রাণ হারিয়েছিলেন।";"1.151039"
"582";"if so , how are the terrorists getting escaped ?";"আপাতত যদি যদি ডাক্তারের ডাক্তারের পরামর্শ মতন।";"2.139090"
"583";"with what power the chhatra league can rule 'severe' and in whose fear the administration is restrained ?";"রাতটা কুয়াশার লক্ষ জন্য একজনকেও চুল কর।";"0.682170"
"584";"awami league or the grand alliance government promised that there will be no occupation of the student organization in the universities .";"ভারী পাতা উদয় করা তাদের প্রাণ তাহলে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.840415"
"585";"but during the first two years of the government , this curse of education has not been removed , rather it has become more severe .";"রাতটা থাকার সবচেয়ে এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"0.958416"
"586";"in this occupation , the hostels have been converted into the fencing of the bcl .";"সাধারণ চড়াই উতরাই আছে।";"0.397639"
"587";"now the government has the duty to free these inhabitants of the cage .";"শাটেল বাসটা এয়ারপোর্টের জন্য কটার সময় ছাড়ে ?";"1.304298"
"588";"if the vice-chancellor and the teacher can not play a vigorous role , then the failure is their .";"যদি যদি যদি যদি যদি তাহলে বেঁচে তাহলে হয়তো এখনো বেঁচে থাকতেন।";"0.944893"
"589";"hope , the prime minister will see this matter .";"রাতটা কুয়াশার জন্য এই ব্যাপারে কার ?";"2.139090"
"590";"we want a true change in the education institutions , we do not want the transition of occupation .";"আমার খুব মেয়াদ হলে সোনা পেয়েছে সেটা আমার কখনই রাখতে দেওয়া হবে এমন সম্ভাবনা খুব কম।";"1.013734"
